video_id,segment_id,text,audio_file_path,video_file_path,score
2iD-tVS8NPw,0,before i went in to see the green lantern ive been hearing all these like critics basically just trashing this movie left and right,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Audio/WAV_16000/Segmented/2iD-tVS8NPw_1.wav,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Video/Segmented/2iD-tVS8NPw_1.mp4,-0.5
2iD-tVS8NPw,1,but i at the same time i do wanna just say that i enjoyed this movie,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Audio/WAV_16000/Segmented/2iD-tVS8NPw_2.wav,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Video/Segmented/2iD-tVS8NPw_2.mp4,2.2
2iD-tVS8NPw,2,i enjoyed it for what it was you know,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Audio/WAV_16000/Segmented/2iD-tVS8NPw_3.wav,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Video/Segmented/2iD-tVS8NPw_3.mp4,1.4
2iD-tVS8NPw,3,its a huge sort of spectacle movie that is great for this summer time you know,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Audio/WAV_16000/Segmented/2iD-tVS8NPw_4.wav,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Video/Segmented/2iD-tVS8NPw_4.mp4,2.2
2iD-tVS8NPw,4,this is a movie that youre gonna go out and see,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Audio/WAV_16000/Segmented/2iD-tVS8NPw_5.wav,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Video/Segmented/2iD-tVS8NPw_5.mp4,2.0
2iD-tVS8NPw,5,and you wanna see it in 3d,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Audio/WAV_16000/Segmented/2iD-tVS8NPw_6.wav,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Video/Segmented/2iD-tVS8NPw_6.mp4,2.0
2iD-tVS8NPw,6,because i i would actually say this probably is one of the first movies this year that ive seen this year that you wanna see in 3d especially for just the opening portion,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Audio/WAV_16000/Segmented/2iD-tVS8NPw_7.wav,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Video/Segmented/2iD-tVS8NPw_7.mp4,2.4
2iD-tVS8NPw,7,it looks really good,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Audio/WAV_16000/Segmented/2iD-tVS8NPw_8.wav,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Video/Segmented/2iD-tVS8NPw_8.mp4,1.8
2iD-tVS8NPw,8,and the rest of it does look good as well,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Audio/WAV_16000/Segmented/2iD-tVS8NPw_9.wav,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Video/Segmented/2iD-tVS8NPw_9.mp4,1.4
2iD-tVS8NPw,9,and i just had fun watching this movie,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Audio/WAV_16000/Segmented/2iD-tVS8NPw_10.wav,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Video/Segmented/2iD-tVS8NPw_10.mp4,2.2
2iD-tVS8NPw,10,its not like a dark movie or anything,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Audio/WAV_16000/Segmented/2iD-tVS8NPw_11.wav,/scratch/tm3647/NLP/NLP_Project/data/CMU-MOSI/Video/Segmented/2iD-tVS8NPw_11.mp4,0.2
